package_or_test,code,name,slug,amount,leb_cost,offer_price,min_age,details,description,max_age,tat_time,tat_time_duration,recommended_age,is_active,category,recommended_gender,discount,fasting_time,package_price,smart_report_available,sample_1h_interval_3times,sample_1h_interval_2times,sample_2h_interval_1time,sample_20m_interval_3times,home_collection,meta_keyword,also_known_as,sample_report,sample_report_pdf,is_hiv_form,type,content,package_alias
test,BC360,Kidney Function Test (KFT),kidney-function-test-kft,300,100,399,0,Suggested for patients exhibit...,"(Urea, BUN, Creatinine, BUN/Creatinine Ratio, Uric Acid, Sodium Ratio",120,10 Hours,1 day,5+ Years,TRUE,category name,both,0,Not Required,0,false,false,false,false,false,true,Kidney function test,"Renal Profile, Kindey Profile, RFT, KFT, Renal Function Test, Kidney Panel",,,false,,,Kidney Blood Test
test,AST,Aspartate Aminotransferase (AST/SGOT),aspartate-aminotransferase-ast/sgot,180,101,280,0,3ml Serum,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,ALT,Alanine Aminotransferase (ALT/SGPT),alanine-aminotransferase-alt/sgpt,180,102,360,0,3ml Serum,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,ANC,Absolute Neutrophil Count,absolute-neutrophil-count,160,103,260,0,3ml EDTA,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,ACHR,Acetylcholine receptor antibodies,acetylcholine-receptor-antibodies,5000,104,6460,0,3ml Serum,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,APTT,Activated Partial Thromboplastin Time ,activated-partial-thromboplastin-time-,500,105,860,0,3ml Sodium Citrate,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,Active B12,Active B12 (HoloTC),active-b12-holotc,1600,106,3040,0,3ml Serum,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,ADA,Adenosine Deaminase,adenosine-deaminase,700,107,870,0,3ml Serum / Fluid,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,ACTH,Adrenocortico Tropic Hormone,adrenocortico-tropic-hormone,1400,108,1500,0,3ml EDTA,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,AEROBIC C/S,Aerobic Culture & Sensitivity,aerobic-culture-&-sensitivity,750,109,990,0,Any Swab/Fluid,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,AFBTIS,AFB (Tissue) Stain,afb-tissue-stain,450,110,840,0,Tissue,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,AFBCUL,AFB Culture,afb-culture,1000,111,1840,0,Sputum/Urine/Fluid/Tissue,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,AFB,AFB-Stain / ZN-Stain,afb-stain-/-zn-stain,400,112,620,0,Sputum/Fluid/Pus/Urine,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,AIR C/S,Air culture & Sensitivity,air-culture-&-sensitivity,800,113,1480,0,Swab/Plate,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
test,ALB,Albumin,albumin,140,114,280,0,3ml Serum/Fluid/Urine,,120,10 Hours,1 day,5+ Years,TRUE,,both,0,,0,false,false,false,false,false,true,,,,,false,,,
